Simulation,Risk_Percentage
sim1072,0.0
sim1073,0.0
sim1074,0.0
sim1075,77.77777777777779
sim1076,0.0
sim1077,66.66666666666666
sim1078,0.0
sim1079,0.0
sim1080,0.0
sim1081,0.0
sim1082,0.0
sim1083,44.44444444444444
sim1084,0.0
sim1085,22.22222222222222
sim1086,33.33333333333333
sim1087,0.0
sim1088,0.0
sim1089,77.77777777777779
sim1090,11.11111111111111
sim1091,0.0
sim1092,0.0
sim1093,0.0
sim1094,11.11111111111111
sim1095,0.0
sim1096,0.0
sim1097,0.0
sim1098,66.66666666666666
sim1099,0.0
sim1100,77.77777777777779
sim1101,0.0
sim1102,0.0
sim1103,0.0
sim1104,0.0
sim1105,77.77777777777779
sim1106,44.44444444444444
sim1107,0.0
sim1108,0.0
sim1109,44.44444444444444
sim1110,0.0
sim1111,77.77777777777779
sim1112,0.0
sim1113,0.0
sim1114,0.0
sim1115,0.0
sim1116,100.0
sim1117,0.0
sim1118,0.0
sim1119,11.11111111111111
sim1120,44.44444444444444
sim1121,0.0
sim1122,0.0
sim1123,33.33333333333333
sim1124,0.0
sim1125,0.0
sim1126,44.44444444444444
sim1127,0.0
sim1128,0.0
sim1129,0.0
sim1130,0.0
sim1131,44.44444444444444
sim1132,0.0
sim1133,88.88888888888889
sim1134,0.0
sim1135,0.0
sim1136,100.0
sim1137,0.0
sim1138,0.0
sim1139,77.77777777777779
sim1140,0.0
sim1141,0.0
sim1142,33.33333333333333
sim1143,0.0
sim1144,0.0
sim1145,0.0
sim1146,0.0
sim1147,0.0
sim1148,0.0
sim1149,11.11111111111111
sim1150,0.0
sim1151,0.0
sim1152,0.0
sim1153,0.0
sim1154,11.11111111111111
sim1155,11.11111111111111
sim1156,0.0
sim1157,100.0
sim1158,44.44444444444444
sim1159,0.0
sim1160,77.77777777777779
sim1161,0.0
sim1162,0.0
sim1163,0.0
sim1164,0.0
sim1165,0.0
sim1166,44.44444444444444
sim1167,0.0
sim1168,0.0
sim1169,22.22222222222222
sim1170,0.0
sim1171,44.44444444444444
sim1172,0.0
sim1173,22.22222222222222
sim1174,0.0
sim1175,0.0
sim1176,88.88888888888889
sim1177,0.0
sim1178,0.0
sim1179,33.33333333333333
sim1180,0.0
sim1181,0.0
sim1182,33.33333333333333
sim1183,0.0
sim1184,0.0
sim1185,0.0
sim1186,77.77777777777779
sim1187,0.0
sim1188,33.33333333333333
sim1189,0.0
sim1190,0.0
sim1191,66.66666666666666
sim1192,0.0
sim1193,100.0
sim1194,0.0
sim1195,0.0
sim1196,0.0
sim1197,0.0
sim1198,0.0
sim1199,33.33333333333333
sim1200,0.0
sim1201,0.0
sim1202,0.0
sim1203,0.0
sim1204,100.0
sim1205,0.0
sim1206,0.0
sim1207,22.22222222222222
sim1208,0.0
sim1209,55.55555555555556
sim1210,11.11111111111111
sim1211,0.0
sim1212,33.33333333333333
sim1213,0.0
sim1214,0.0
sim1215,55.55555555555556
sim1216,55.55555555555556
sim1217,77.77777777777779
sim1218,0.0
sim1219,0.0
sim1220,0.0
sim1221,0.0
sim1222,55.55555555555556
sim1223,0.0
sim1224,11.11111111111111
sim1225,0.0
sim1226,0.0
sim1227,77.77777777777779
sim1228,0.0
sim1229,11.11111111111111
sim1230,0.0
sim1231,0.0
sim1232,0.0
sim1233,0.0
sim1234,55.55555555555556
sim1235,0.0
sim1236,0.0
sim1237,55.55555555555556
sim1238,66.66666666666666
sim1239,0.0
sim1240,0.0
sim1241,0.0
sim1242,0.0
sim1243,88.88888888888889
sim1244,11.11111111111111
sim1245,55.55555555555556
sim1246,22.22222222222222
sim1247,0.0
sim1248,0.0
sim1249,0.0
sim1250,0.0
sim1251,44.44444444444444
sim1252,88.88888888888889
sim1253,0.0
sim1254,0.0
sim1255,88.88888888888889
sim1256,0.0
sim1257,0.0
sim1258,88.88888888888889
sim1259,0.0
sim1260,44.44444444444444
sim1261,0.0
sim1262,0.0
sim1263,11.11111111111111
sim1264,0.0
sim1265,44.44444444444444
sim1266,0.0
sim1267,0.0
sim1268,0.0
sim1269,0.0
sim1270,0.0
sim1271,88.88888888888889
sim1272,0.0
sim1273,22.22222222222222
sim1274,55.55555555555556
sim1275,0.0
sim1276,0.0
sim1277,0.0
sim1278,0.0
sim1279,0.0
sim1280,66.66666666666666
sim1281,0.0
sim1282,44.44444444444444
sim1283,0.0
sim1284,44.44444444444444
sim1285,0.0
sim1286,0.0
sim1287,0.0
sim1288,0.0
sim1289,0.0
sim1290,0.0
sim1291,0.0
sim1292,22.22222222222222
sim1293,0.0
sim1294,0.0
sim1295,77.77777777777779
sim1296,0.0
sim1297,77.77777777777779
sim1298,55.55555555555556
sim1299,0.0
sim1300,0.0
sim1301,0.0
sim1302,44.44444444444444
sim1303,0.0
sim1304,0.0
sim1305,55.55555555555556
sim1306,0.0
sim1307,0.0
sim1308,0.0
sim1309,0.0
sim1310,0.0
sim1311,100.0
sim1312,88.88888888888889
sim1313,0.0
sim1314,0.0
sim1315,44.44444444444444
sim1316,0.0
sim1317,11.11111111111111
sim1318,0.0
sim1319,0.0
sim1320,77.77777777777779
sim1321,22.22222222222222
sim1322,0.0
sim1323,0.0
sim1324,0.0
sim1325,0.0
sim1326,100.0
sim1327,0.0
sim1328,0.0
sim1329,0.0
sim1330,0.0
sim1331,77.77777777777779
sim1332,0.0
sim1333,66.66666666666666
sim1334,0.0
sim1335,0.0
sim1336,0.0
sim1337,0.0
sim1338,0.0
sim1339,44.44444444444444
sim1340,0.0
sim1341,22.22222222222222
sim1342,33.33333333333333
sim1343,0.0
sim1344,0.0
sim1345,77.77777777777779
sim1346,11.11111111111111
sim1347,0.0
sim1348,0.0
sim1349,0.0
sim1350,11.11111111111111
sim1351,0.0
sim1352,0.0
sim1353,0.0
sim1354,66.66666666666666
sim1355,0.0
sim1356,77.77777777777779
sim1357,0.0
sim1358,0.0
sim1359,0.0
sim1360,0.0
sim1361,77.77777777777779
sim1362,44.44444444444444
sim1363,0.0
sim1364,0.0
sim1365,44.44444444444444
sim1366,0.0
sim1367,77.77777777777779
sim1368,0.0
sim1369,0.0
sim1370,0.0
sim1371,0.0
sim1372,100.0
sim1373,0.0
sim1374,0.0
sim1375,11.11111111111111
sim1376,44.44444444444444
sim1377,0.0
sim1378,0.0
sim1379,33.33333333333333
sim1380,0.0
sim1381,0.0
sim1382,44.44444444444444
sim1383,0.0
sim1384,0.0
sim1385,0.0
sim1386,0.0
sim1387,44.44444444444444
sim1388,0.0
sim1389,88.88888888888889
sim1390,0.0
sim1391,0.0
sim1392,100.0
sim1393,0.0
sim1394,0.0
sim1395,77.77777777777779
sim1396,0.0
sim1397,0.0
sim1398,44.44444444444444
sim1399,0.0
sim1400,0.0
sim1401,0.0
sim1402,0.0
sim1403,0.0
sim1404,0.0
sim1405,11.11111111111111
sim1406,0.0
sim1407,0.0
sim1408,0.0
sim1409,0.0
sim1410,0.0
sim1411,11.11111111111111
sim1412,0.0
sim1413,100.0
sim1414,44.44444444444444
sim1415,0.0
sim1416,77.77777777777779
sim1417,0.0
sim1418,0.0
sim1419,0.0
sim1420,0.0
sim1421,0.0
sim1422,44.44444444444444
sim1423,0.0
sim1424,0.0
sim1425,22.22222222222222
sim1426,0.0
sim1427,44.44444444444444
sim1428,0.0
sim1429,22.22222222222222
sim1430,0.0
sim1431,0.0
sim1432,88.88888888888889
sim1433,0.0
sim1434,0.0
sim1435,33.33333333333333
sim1436,0.0
sim1437,0.0
sim1438,33.33333333333333
sim1439,0.0
sim1440,0.0
sim1441,0.0
sim1442,77.77777777777779
sim1443,0.0
sim1444,33.33333333333333
sim1445,0.0
sim1446,0.0
sim1447,66.66666666666666
sim1448,0.0
sim1449,100.0
sim1450,0.0
sim1451,0.0
sim1452,0.0
sim1453,0.0
sim1454,0.0
sim1455,33.33333333333333
sim1456,0.0
sim1457,0.0
sim1458,0.0
sim1459,0.0
